time,latitude,longitude,depth,mag,type,gap,net,id,place
2022-02-21T05:57:24.340Z,37.3786659,-121.7328339,6.99,1.89,md,37,nc,nc73695796,"8km E of Alum Rock, CA"
2022-02-21T05:31:34.439Z,61.4957,-146.6109,25.3,1.4,ml,,ak,ak0222e33xk5,"43 km NNW of Valdez, Alaska"
2022-02-21T05:30:00.750Z,18.02566667,-66.79483333,15.62,2.11,md,154,pr,pr71336208,Puerto Rico region
2022-02-21T05:24:42.670Z,18.04266667,-66.78916667,17.51,2.58,md,65,pr,pr71336203,"2 km N of Guayanilla, Puerto Rico"
2022-02-21T05:13:44.060Z,17.988,-66.81133333,15.29,2.48,md,185,pr,pr71336193,Puerto Rico region
2022-02-21T05:11:03.668Z,64.4422,-147.8837,4.9,1.4,ml,,ak,ak0222e2zkuv,"41 km S of South Van Horn, Alaska"
2022-02-21T05:10:49.190Z,19.0845,-65.4205,14,3.52,md,289,pr,pr2022052000,"84 km NNE of Luquillo, Puerto Rico"
2022-02-21T05:07:36.180Z,36.7236671,-121.3693314,2.4,3.61,ml,104,nc,nc73695786,"9km SSW of Tres Pinos, CA"
2022-02-21T05:06:09.350Z,38.2673,-118.3288,10,3.4,ml,72,us,us7000gmjx,"23 km SW of Mina, Nevada"
2022-02-21T05:04:10.730Z,18.03233333,-66.94533333,6.55,2.1,md,161,pr,pr71336178,"1 km SSW of Liborio Negron Torres, Puerto Rico"
2022-02-21T04:58:40.740Z,38.7798347,-122.7566681,1.08,0.98,md,65,nc,nc73695771,"0km N of The Geysers, CA"
2022-02-21T04:53:52.733Z,60.8163,-151.2722,55.1,1.2,ml,,ak,ak0222e2n949,"14 km N of Nikiski, Alaska"
2022-02-21T04:35:46.860Z,35.345,-119.4538333,12.5,2.31,ml,77,ci,ci40190880,"6km SSE of Buttonwillow, CA"
2022-02-21T04:34:50.950Z,38.8530006,-122.7990036,1.86,1.44,md,64,nc,nc73695761,"7km WNW of Cobb, CA"
2022-02-21T04:13:01.359Z,59.874,-153.314,118.5,1.6,ml,,ak,ak0222e2egrd,"45 km ENE of Pedro Bay, Alaska"
2022-02-21T04:12:49.633Z,62.9879,-150.7031,109.9,1.8,ml,,ak,ak0222e2egjx,"54 km N of Petersville, Alaska"
2022-02-21T03:55:55.757Z,59.8892,-152.3052,84.5,4,ml,,ak,ak0222e2294h,"29 km WNW of Anchor Point, Alaska"
2022-02-21T03:53:19.222Z,62.1805,-150.6256,18.4,1.2,ml,,ak,ak0222e21qxe,"25 km SW of Trapper Creek, Alaska"
2022-02-21T03:40:12.845Z,53.0042,158.6572,110.05,4.5,mb,100,us,us7000gmjn,"6 km SSE of Petropavlovsk-Kamchatsky, Russia"
2022-02-21T03:10:52.900Z,19.2045002,-155.3984985,30.79999924,2,md,166,hv,hv72924137,"Island of Hawaii, Hawaii"
2022-02-21T03:10:13.373Z,58.8578,-152.7679,31.9,2.2,ml,,ak,ak0222e1siml,"73 km SW of Nanwalek, Alaska"
2022-02-21T03:06:44.880Z,-41.7892,173.6994,30.49,5.2,mww,51,us,us7000gmji,"36 km SW of Blenheim, New Zealand"
2022-02-21T02:33:03.809Z,53.1552,-166.7857,23.65,5.1,mww,105,us,us7000gmjh,"81 km SSW of Unalaska, Alaska"
2022-02-21T02:29:47.990Z,17.99166667,-66.98333333,6.37,2.3,md,145,pr,pr71336168,"6 km ENE of La Parguera, Puerto Rico"
2022-02-21T02:24:32.700Z,28.8117,130.1493,49.97,4.9,mww,115,us,us7000gmjg,"81 km NE of Naze, Japan"
2022-02-21T02:13:07.380Z,38.8046684,-122.8180008,2.87,0.99,md,59,nc,nc73695731,"6km WNW of The Geysers, CA"
2022-02-21T02:10:20.742Z,61.493,-146.4554,31.2,1.5,ml,,ak,ak0222e173ne,"40 km N of Valdez, Alaska"
2022-02-21T02:08:09.140Z,17.95166667,-66.94183333,10.31,1.71,md,213,pr,pr71336173,"4 km WSW of Guánica, Puerto Rico"
2022-02-21T02:03:33.536Z,60.8898,-149.6824,34.7,1.3,ml,,ak,ak0222e15mmh,"3 km SW of Hope, Alaska"
2022-02-21T01:58:06.350Z,17.9985,-66.98016667,3.83,2.16,md,135,pr,pr71336163,"6 km SW of Liborio Negron Torres, Puerto Rico"
2022-02-21T01:54:16.570Z,35.4858333,-118.1791667,8.17,0.98,ml,101,ci,ci40190848,"30km ESE of Lake Isabella, CA"
2022-02-21T01:17:16.755Z,63.9881,-149.2777,0.1,1.6,ml,,ak,ak0222e0n5q9,"8 km WSW of Ferry, Alaska"
2022-02-21T01:13:24.660Z,17.97616667,-67.14033333,9.72,2.08,md,310,pr,pr71336153,"4 km E of Pole Ojea, Puerto Rico"
2022-02-21T01:12:52.771Z,36.1968,140.9258,48.71,4.6,mb,135,us,us7000gmj0,"33 km ESE of Ōarai, Japan"
2022-02-21T01:09:56.847Z,64.0069,-149.3525,0,2.4,ml,,ak,ak0222e0lj49,"11 km W of Ferry, Alaska"
2022-02-21T00:58:49.849Z,2.2641,-84.5031,10,4.7,mb,78,us,us7000gmiu,off the coast of Central America
2022-02-21T00:58:06.117Z,65.0808,-162.7593,10,3,ml,141,us,us7000gmiw,"54 km NE of White Mountain, Alaska"
2022-02-21T00:57:47.040Z,17.9075,-66.8025,9.14,2.71,md,202,pr,pr71336143,"9 km S of Indios, Puerto Rico"
2022-02-21T00:37:53.200Z,38.8284988,-122.8150024,1.73,1.07,md,59,nc,nc73695716,"8km NW of The Geysers, CA"
2022-02-21T00:33:24.900Z,38.8048333,-122.817,3.04,1.59,md,60,nc,nc73695701,"6km WNW of The Geysers, CA"
2022-02-21T00:25:23.390Z,38.2644997,-122.1930008,9.2,1.55,md,195,nc,nc73695696,"3km WNW of Green Valley, CA"
2022-02-21T00:23:53.132Z,63.0016,-149.703,3.8,1.8,ml,,ak,ak0222e03390,"57 km SW of Cantwell, Alaska"
2022-02-21T00:21:04.582Z,61.5875,-149.838,49.6,1.5,ml,,ak,ak0222e02k2i,"4 km SSW of Houston, Alaska"
2022-02-21T00:20:37.857Z,-8.1111,154.2856,10,5.2,mww,52,us,us7000gmir,"238 km SW of Panguna, Papua New Guinea"
2022-02-21T00:19:48.183Z,63.9425,-148.2603,81.8,1.5,ml,,ak,ak0222e027zv,"35 km ENE of Healy, Alaska"
2022-02-21T00:17:30.610Z,17.94633333,-66.80433333,9.75,2.6,md,214,pr,pr71336128,"5 km SSE of Indios, Puerto Rico"
2022-02-21T00:17:06.710Z,35.0273333,-117.6783333,0.32,1.61,ml,89,ci,ci40190840,"4km NW of Boron, CA"
2022-02-21T00:06:18.451Z,61.497,-149.9374,43.9,1.2,ml,,ak,ak0222dzzdep,"2 km SSE of Big Lake, Alaska"
